#AOR	epoch	channel	RAtopL	DECtopL	RAbotL	DECbotL	RAbotR	DEbotR	RAtopR	DECtopR
29	1	2	350.562507968	-1.08784541926	349.72325783	0.935483989326	350.307062048	1.17356402981	351.144885252	-0.845852773106
29	2	1	350.556665705	-1.17492863543	349.717127449	0.848972521572	350.300962671	1.08693979713	351.139887502	-0.932348627858
29	2	2	350.510422214	-1.07094286856	349.671319203	0.952449351011	350.255188233	1.1903743714	351.093168193	-0.828975682991
30	1	1	351.277965149	-1.19136560562	350.439523909	0.833530946561	351.023435307	1.07042807016	351.861232113	-0.949328119767
30	1	2	351.23178601	-1.0873015239	350.393770224	0.936900658036	350.977722464	1.17373407132	351.814368739	-0.845809337969
30	2	1	351.225929358	-1.17476802514	350.387621412	0.849461926429	350.971674608	1.08689533263	351.809246744	-0.932415888913
30	2	2	351.179652334	-1.07076544816	350.341854776	0.952986451173	350.925950982	1.19035615142	351.762439812	-0.828894166109
31	1	1	351.896104089	-1.17486196886	351.057475004	0.848875949815	351.641050207	1.08703400819	352.479539233	-0.932796117375
31	1	2	351.849874545	-1.07095238105	351.01183688	0.95197600556	351.595325602	1.19039677909	352.432802719	-0.828987786131
31	2	1	351.947642459	-1.19166114917	351.109372012	0.832770341796	351.693718125	1.07036188096	352.531261582	-0.950039415635
31	2	2	351.901626968	-1.0875126876	351.063877114	0.935902990228	351.648137357	1.17374873892	352.484495363	-0.846276033198
32	1	1	352.623771231	-1.19079945576	351.775107335	0.829835141506	352.358246271	1.06993715578	353.205808151	-0.945380583991
32	1	2	352.57708539	-1.08704538859	351.728926836	0.933108598443	352.31201471	1.17293324636	353.158595061	-0.842107864166
32	2	1	352.57162296	-1.17391019678	351.723082434	0.846776143539	352.306230735	1.08642774752	353.153818658	-0.928881630549
32	2	2	352.524905477	-1.07005817686	351.676873405	0.949970265101	352.260054951	1.18957793782	353.106628567	-0.825647474028
33	1	1	353.294777275	-1.19071817454	352.445041852	0.828562632196	353.027505124	1.06985827774	353.876735255	-0.945115824391
33	1	2	353.248065703	-1.08700883132	352.398882832	0.931809383138	352.981087083	1.1729067449	353.829500468	-0.841904989557
33	2	1	353.242626878	-1.17400212683	352.393214153	0.845232435039	352.975511309	1.08650139677	353.824914624	-0.928766047986
33	2	2	353.195944756	-1.07017199991	352.346996331	0.948384875478	352.929187038	1.1895174727	353.777620552	-0.825651074297
34	1	1	353.605789578	1.16754268619	354.525587645	-0.820806906649	353.952361576	-1.08208351639	353.032766245	0.901777018831
34	1	2	353.656101169	1.06555021101	354.575020834	-0.921573117825	354.002236196	-1.18346136336	353.083721255	0.800004573932
34	2	1	353.553409151	1.18430228093	354.474171345	-0.803972967722	353.900735067	-1.0651864923	352.980311024	0.9182950956
